Ticker,Date,open,high,low,close,Volume,Time
S50_Tradingview,2021-03-30,968.2,968.8,967.5,967.5,2044,09:45:00
S50_Tradingview,2021-03-30,967.5,967.6,967.1,967.5,886,09:46:00
S50_Tradingview,2021-03-30,967.4,967.8,967.4,967.8,770,09:47:00
S50_Tradingview,2021-03-30,967.8,967.8,967,967,960,09:48:00
S50_Tradingview,2021-03-30,967,967.1,966.4,966.5,780,09:49:00
S50_Tradingview,2021-03-30,966.5,966.7,966.3,966.6,387,09:50:00
S50_Tradingview,2021-03-30,966.7,966.8,966.2,966.4,400,09:51:00
S50_Tradingview,2021-03-30,966.3,966.8,966.3,966.8,367,09:52:00
S50_Tradingview,2021-03-30,966.8,966.9,966.3,966.3,272,09:53:00
S50_Tradingview,2021-03-30,966.4,966.8,966.4,966.6,293,09:54:00
S50_Tradingview,2021-03-30,966.7,966.7,966.6,966.7,137,09:55:00
S50_Tradingview,2021-03-30,966.7,967.1,966.7,967.1,501,09:56:00
S50_Tradingview,2021-03-30,967.1,967.3,967,967.3,336,09:57:00
S50_Tradingview,2021-03-30,967.3,967.3,966.5,966.6,540,09:58:00
S50_Tradingview,2021-03-30,966.7,966.8,966.5,966.8,267,09:59:00
S50_Tradingview,2021-03-30,966.8,967.2,966.7,966.8,511,10:00:00
S50_Tradingview,2021-03-30,966.9,967.2,966.8,967,570,10:01:00
S50_Tradingview,2021-03-30,967,967.2,967,967.1,149,10:02:00
S50_Tradingview,2021-03-30,967.1,967.2,966.8,967,460,10:03:00
S50_Tradingview,2021-03-30,967,967.5,966.9,967.3,561,10:04:00
S50_Tradingview,2021-03-30,967.4,967.7,967.4,967.5,840,10:05:00
S50_Tradingview,2021-03-30,967.5,967.9,967.1,967.4,514,10:06:00
S50_Tradingview,2021-03-30,967.5,967.5,967.1,967.2,440,10:07:00
S50_Tradingview,2021-03-30,967.1,967.3,966.8,966.9,300,10:08:00
S50_Tradingview,2021-03-30,966.9,967,966.6,966.6,271,10:09:00
S50_Tradingview,2021-03-30,966.7,966.8,966.6,966.7,361,10:10:00
S50_Tradingview,2021-03-30,966.8,967,966.7,967,245,10:11:00
S50_Tradingview,2021-03-30,967,967.1,966.8,966.8,164,10:12:00
S50_Tradingview,2021-03-30,966.8,966.9,966.7,966.7,116,10:13:00
S50_Tradingview,2021-03-30,966.7,967.1,966.7,967.1,137,10:14:00
S50_Tradingview,2021-03-30,967,967,966.7,966.8,160,10:15:00
S50_Tradingview,2021-03-30,966.9,967.2,966.9,967.1,329,10:16:00
S50_Tradingview,2021-03-30,967.1,967.2,967,967.1,34,10:17:00
S50_Tradingview,2021-03-30,967.1,967.4,966.8,967.3,572,10:18:00
S50_Tradingview,2021-03-30,967.3,967.5,967.2,967.3,202,10:19:00
S50_Tradingview,2021-03-30,967.4,967.7,967.1,967.3,532,10:20:00
S50_Tradingview,2021-03-30,967.1,967.4,967.1,967.2,532,10:21:00
S50_Tradingview,2021-03-30,967.2,967.3,967.1,967.2,290,10:22:00
S50_Tradingview,2021-03-30,967.2,967.3,966.8,966.8,262,10:23:00
S50_Tradingview,2021-03-30,966.8,966.9,966.1,966.2,760,10:24:00
S50_Tradingview,2021-03-30,966.2,966.2,965.7,966,1010,10:25:00
S50_Tradingview,2021-03-30,965.9,966,965.5,965.5,413,10:26:00
S50_Tradingview,2021-03-30,965.5,965.9,965.2,965.8,643,10:27:00
S50_Tradingview,2021-03-30,965.7,965.9,965.6,965.7,155,10:28:00
S50_Tradingview,2021-03-30,965.8,965.8,965.6,965.6,195,10:29:00
S50_Tradingview,2021-03-30,965.6,966,965.5,966,329,10:30:00
S50_Tradingview,2021-03-30,966,966.3,965.8,966.2,666,10:31:00
S50_Tradingview,2021-03-30,966.2,966.4,966,966.4,476,10:32:00
S50_Tradingview,2021-03-30,966.2,966.4,965.6,965.6,269,10:33:00
S50_Tradingview,2021-03-30,965.8,965.9,965.7,965.8,104,10:34:00
S50_Tradingview,2021-03-30,965.8,966.2,965.8,966.2,211,10:35:00
S50_Tradingview,2021-03-30,966.2,966.5,966.2,966.5,255,10:36:00
S50_Tradingview,2021-03-30,966.5,966.5,966.2,966.2,238,10:37:00
S50_Tradingview,2021-03-30,966.3,966.4,965.9,965.9,202,10:38:00
S50_Tradingview,2021-03-30,965.9,966.2,965.9,966,261,10:39:00
S50_Tradingview,2021-03-30,965.9,966.2,965.9,966.2,128,10:40:00
S50_Tradingview,2021-03-30,966.1,966.2,965.9,966,241,10:41:00
S50_Tradingview,2021-03-30,966,966,965,965,1155,10:42:00
S50_Tradingview,2021-03-30,965,965.3,964.6,965.3,867,10:43:00
S50_Tradingview,2021-03-30,965.3,965.5,965,965.3,505,10:44:00
S50_Tradingview,2021-03-30,965.3,965.4,964.5,965,602,10:45:00
S50_Tradingview,2021-03-30,965,965.2,964.5,964.6,535,10:46:00
S50_Tradingview,2021-03-30,964.6,964.7,964.2,964.6,679,10:47:00
S50_Tradingview,2021-03-30,964.5,964.9,964.4,964.6,354,10:48:00
S50_Tradingview,2021-03-30,964.6,964.8,964.6,964.7,128,10:49:00
S50_Tradingview,2021-03-30,964.7,964.8,964.6,964.6,139,10:50:00
S50_Tradingview,2021-03-30,964.7,965,964.6,964.9,203,10:51:00
S50_Tradingview,2021-03-30,965,965.5,965,965.1,474,10:52:00
S50_Tradingview,2021-03-30,965.2,965.3,964.9,965,258,10:53:00
S50_Tradingview,2021-03-30,965,965.3,965,965.3,169,10:54:00
S50_Tradingview,2021-03-30,965.3,965.3,965,965.1,99,10:55:00
S50_Tradingview,2021-03-30,965.1,965.3,965.1,965.3,40,10:56:00
S50_Tradingview,2021-03-30,965.3,965.4,965.2,965.3,113,10:57:00
S50_Tradingview,2021-03-30,965.3,965.7,965.3,965.5,254,10:58:00
S50_Tradingview,2021-03-30,965.5,965.6,965.4,965.6,215,10:59:00
S50_Tradingview,2021-03-30,965.5,965.6,965.2,965.3,366,11:00:00
S50_Tradingview,2021-03-30,965.3,965.6,965.1,965.1,281,11:01:00
S50_Tradingview,2021-03-30,965.2,965.3,965.1,965.2,73,11:02:00
S50_Tradingview,2021-03-30,965.3,965.4,965.2,965.2,74,11:03:00
S50_Tradingview,2021-03-30,965.3,965.6,965.3,965.5,217,11:04:00
S50_Tradingview,2021-03-30,965.6,965.7,965.5,965.6,124,11:05:00
S50_Tradingview,2021-03-30,965.4,965.6,965.4,965.5,36,11:06:00
S50_Tradingview,2021-03-30,965.5,965.6,965.4,965.5,131,11:07:00
S50_Tradingview,2021-03-30,965.4,965.5,965.4,965.4,24,11:08:00
S50_Tradingview,2021-03-30,965.5,966.4,965.5,966,720,11:09:00
S50_Tradingview,2021-03-30,966,967,966,966.6,1198,11:10:00
S50_Tradingview,2021-03-30,966.6,966.9,966.5,966.8,310,11:11:00
S50_Tradingview,2021-03-30,966.8,966.8,966.5,966.6,181,11:12:00
S50_Tradingview,2021-03-30,966.6,966.7,966.5,966.6,136,11:13:00
S50_Tradingview,2021-03-30,966.5,966.6,966.4,966.5,180,11:14:00
S50_Tradingview,2021-03-30,966.6,966.6,966.3,966.3,248,11:15:00
S50_Tradingview,2021-03-30,966.3,966.8,966.3,966.7,232,11:16:00
S50_Tradingview,2021-03-30,966.7,966.8,966.6,966.7,164,11:17:00
S50_Tradingview,2021-03-30,966.7,966.8,966.7,966.8,81,11:18:00
S50_Tradingview,2021-03-30,966.9,967,966.7,966.7,414,11:19:00
S50_Tradingview,2021-03-30,966.8,967.4,966.8,967.2,701,11:20:00
S50_Tradingview,2021-03-30,967.3,967.8,967.2,967.7,595,11:21:00
S50_Tradingview,2021-03-30,967.6,967.9,967.4,967.8,486,11:22:00
S50_Tradingview,2021-03-30,967.7,967.9,967.6,967.7,317,11:23:00
S50_Tradingview,2021-03-30,967.8,967.9,967.7,967.8,248,11:24:00
S50_Tradingview,2021-03-30,967.7,968.4,967.5,968.3,1010,11:25:00
S50_Tradingview,2021-03-30,968.2,968.2,967.8,968,483,11:26:00
S50_Tradingview,2021-03-30,968,968,967.7,968,383,11:27:00
S50_Tradingview,2021-03-30,967.9,968,967.7,967.8,372,11:28:00
S50_Tradingview,2021-03-30,967.7,968,967.6,967.9,289,11:29:00
S50_Tradingview,2021-03-30,967.9,968.2,967.8,967.9,440,11:30:00
S50_Tradingview,2021-03-30,967.8,967.8,967.5,967.8,342,11:31:00
S50_Tradingview,2021-03-30,967.7,968,967.7,967.9,1024,11:32:00
S50_Tradingview,2021-03-30,967.9,968.2,967.7,968,1582,11:33:00
S50_Tradingview,2021-03-30,968.1,968.1,967.8,967.9,187,11:34:00
S50_Tradingview,2021-03-30,967.9,968,967.9,968,294,11:35:00
S50_Tradingview,2021-03-30,967.9,968,967.1,967.2,912,11:36:00
S50_Tradingview,2021-03-30,967.2,969.5,967.2,969.4,4284,11:37:00
S50_Tradingview,2021-03-30,969.1,970,968.8,969.2,3603,11:38:00
S50_Tradingview,2021-03-30,969.2,969.6,969,969,1182,11:39:00
S50_Tradingview,2021-03-30,969,969.8,969,969.4,1060,11:40:00
S50_Tradingview,2021-03-30,969.3,970.6,969.3,969.7,1568,11:41:00
S50_Tradingview,2021-03-30,969.8,970.2,969.7,969.9,574,11:42:00
S50_Tradingview,2021-03-30,969.7,969.9,969.7,969.7,78,11:43:00
S50_Tradingview,2021-03-30,969.8,970.2,969.7,970.2,297,11:44:00
S50_Tradingview,2021-03-30,970.2,970.8,970,970.1,1233,11:45:00
S50_Tradingview,2021-03-30,970.1,970.2,969.8,969.9,620,11:46:00
S50_Tradingview,2021-03-30,969.9,970.2,969.9,970,474,11:47:00
S50_Tradingview,2021-03-30,969.9,970.5,969.9,970.2,433,11:48:00
S50_Tradingview,2021-03-30,970.3,970.3,969.8,969.8,430,11:49:00
S50_Tradingview,2021-03-30,969.8,970.2,969.5,969.6,1095,11:50:00
S50_Tradingview,2021-03-30,969.6,970,969.6,970,641,11:51:00
S50_Tradingview,2021-03-30,969.9,970,969.8,969.8,52,11:52:00
S50_Tradingview,2021-03-30,969.9,969.9,969.5,969.5,283,11:53:00
S50_Tradingview,2021-03-30,969.5,969.7,969.2,969.6,466,11:54:00
S50_Tradingview,2021-03-30,969.7,969.7,969.5,969.5,159,11:55:00
S50_Tradingview,2021-03-30,969.5,969.9,969.5,969.8,76,11:56:00
S50_Tradingview,2021-03-30,969.8,970.2,969.8,969.8,332,11:57:00
S50_Tradingview,2021-03-30,969.8,970,969.7,969.7,75,11:58:00
S50_Tradingview,2021-03-30,969.8,969.9,969.7,969.7,84,11:59:00
S50_Tradingview,2021-03-30,969.7,969.9,969.3,969.5,573,12:00:00
S50_Tradingview,2021-03-30,969.5,969.9,969.3,969.4,514,12:01:00
S50_Tradingview,2021-03-30,969.3,969.5,969.3,969.4,160,12:02:00
S50_Tradingview,2021-03-30,969.4,969.8,969.4,969.7,235,12:03:00
