Ticker,Date,open,high,low,close,Volume,Time
S50_Tradingview,2017-03-30,993.5,994,993.2,993.5,783,09:45:00
S50_Tradingview,2017-03-30,993.6,993.7,993.5,993.6,181,09:46:00
S50_Tradingview,2017-03-30,993.6,994,993.6,993.9,138,09:47:00
S50_Tradingview,2017-03-30,993.9,994,993.9,994,239,09:48:00
S50_Tradingview,2017-03-30,994,994.3,994,994.2,122,09:49:00
S50_Tradingview,2017-03-30,994.3,994.3,993.7,993.8,522,09:50:00
S50_Tradingview,2017-03-30,993.6,993.8,993.6,993.7,198,09:51:00
S50_Tradingview,2017-03-30,993.6,993.7,993.4,993.4,208,09:52:00
S50_Tradingview,2017-03-30,993.4,993.4,993.3,993.3,328,09:53:00
S50_Tradingview,2017-03-30,993.4,993.4,993,993.1,499,09:54:00
S50_Tradingview,2017-03-30,993,993.2,992.8,992.9,654,09:55:00
S50_Tradingview,2017-03-30,992.9,993.2,992.8,993.2,215,09:56:00
S50_Tradingview,2017-03-30,993.2,993.3,993.1,993.3,59,09:57:00
S50_Tradingview,2017-03-30,993.4,993.4,993.2,993.4,133,09:58:00
S50_Tradingview,2017-03-30,993.3,993.3,993.1,993.2,47,09:59:00
S50_Tradingview,2017-03-30,993.2,993.2,993,993.1,229,10:00:00
S50_Tradingview,2017-03-30,993.1,993.1,993,993,245,10:01:00
S50_Tradingview,2017-03-30,993,993.3,992.9,993.3,226,10:02:00
S50_Tradingview,2017-03-30,993.3,993.5,993.2,993.4,81,10:03:00
S50_Tradingview,2017-03-30,993.4,993.7,993.3,993.6,155,10:04:00
S50_Tradingview,2017-03-30,993.7,993.8,993.6,993.6,175,10:05:00
S50_Tradingview,2017-03-30,993.6,993.8,993.6,993.8,237,10:06:00
S50_Tradingview,2017-03-30,993.8,993.8,993.6,993.6,198,10:07:00
S50_Tradingview,2017-03-30,993.6,993.7,993.3,993.4,541,10:08:00
S50_Tradingview,2017-03-30,993.5,993.6,993.5,993.6,64,10:09:00
S50_Tradingview,2017-03-30,993.5,993.5,993.2,993.2,333,10:10:00
S50_Tradingview,2017-03-30,993.2,993.4,993.2,993.3,107,10:11:00
S50_Tradingview,2017-03-30,993.3,993.5,993.3,993.4,145,10:12:00
S50_Tradingview,2017-03-30,993.4,993.5,993.3,993.3,45,10:13:00
S50_Tradingview,2017-03-30,993.4,993.5,993.3,993.5,65,10:14:00
S50_Tradingview,2017-03-30,993.6,993.6,993.4,993.5,41,10:15:00
S50_Tradingview,2017-03-30,993.4,993.5,993.3,993.4,49,10:16:00
S50_Tradingview,2017-03-30,993.4,993.5,993.3,993.3,53,10:17:00
S50_Tradingview,2017-03-30,993.3,993.4,993.3,993.4,45,10:18:00
S50_Tradingview,2017-03-30,993.4,993.5,993.3,993.4,43,10:19:00
S50_Tradingview,2017-03-30,993.5,993.5,993.4,993.5,110,10:20:00
S50_Tradingview,2017-03-30,993.6,993.6,993.5,993.6,30,10:21:00
S50_Tradingview,2017-03-30,993.5,993.7,993.5,993.7,96,10:22:00
S50_Tradingview,2017-03-30,993.8,993.8,993.6,993.6,62,10:23:00
S50_Tradingview,2017-03-30,993.6,993.6,993.5,993.5,160,10:24:00
